[slumbot] Building 169-bucket preflop abstraction...
[slumbot] Abstraction built in 160.14s
[slumbot] Training NL MCCFR for 1 iterations (169 buckets)...
  [Resume] Loading checkpoint from checkpoint_169b_25M.dat ...
  [Resume] Loaded P0=100275630 P1=125066720 info sets. Continuing training.
[slumbot] Training complete in 96.39s. P0: 100275630, P1: 125066720 info sets
[slumbot] Starting session: LIVE (slumbot.com), 1000 hands
[slumbot] Hand 750/1000: won=-50 total=-52362 (-698.16 mbb/hand)
[slumbot] Hand 760/1000: won=-50 total=-52662 (-692.92 mbb/hand)
[slumbot] Hand 770/1000: won=-100 total=-32612 (-423.53 mbb/hand)
[slumbot] Hand 780/1000: won=100 total=-32812 (-420.67 mbb/hand)
[slumbot] Hand 790/1000: won=-50 total=-33562 (-424.84 mbb/hand)
[slumbot] Hand 800/1000: won=-50 total=-34012 (-425.15 mbb/hand)
[slumbot] Hand 810/1000: won=1000 total=-53312 (-658.17 mbb/hand)
[slumbot] Hand 820/1000: won=-50 total=-33562 (-409.29 mbb/hand)
[slumbot] Hand 830/1000: won=-100 total=-34062 (-410.39 mbb/hand)
[slumbot] Hand 840/1000: won=100 total=-33612 (-400.14 mbb/hand)
[slumbot] Hand 850/1000: won=-100 total=-33962 (-399.55 mbb/hand)
[slumbot] Hand 860/1000: won=300 total=-41350 (-480.81 mbb/hand)
[slumbot] Hand 870/1000: won=1100 total=-38900 (-447.13 mbb/hand)
[slumbot] Hand 880/1000: won=275 total=-39375 (-447.44 mbb/hand)
[slumbot] Hand 890/1000: won=-100 total=-39025 (-438.48 mbb/hand)
[slumbot] Hand 900/1000: won=-50 total=-38450 (-427.22 mbb/hand)
[slumbot] Hand 910/1000: won=-650 total=-39050 (-429.12 mbb/hand)
[slumbot] Hand 920/1000: won=-50 total=-38725 (-420.92 mbb/hand)
[slumbot] Hand 930/1000: won=-1000 total=-40500 (-435.48 mbb/hand)
[slumbot] Hand 940/1000: won=-100 total=-40425 (-430.05 mbb/hand)
[slumbot] Hand 950/1000: won=-50 total=-20625 (-217.11 mbb/hand)
[slumbot] Hand 960/1000: won=-50 total=-20925 (-217.97 mbb/hand)
[slumbot] Hand 970/1000: won=-50 total=-26675 (-275.00 mbb/hand)
[slumbot] Hand 980/1000: won=300 total=-25525 (-260.46 mbb/hand)
[slumbot] Hand 990/1000: won=-50 total=-26675 (-269.44 mbb/hand)
[slumbot] Hand 1000/1000: won=100 total=-46625 (-466.25 mbb/hand)

================================================================
  Slumbot Session Results (LIVE (slumbot.com))
================================================================

  Hands played:    1000
  Total winnings:  -46625 chips
  Average:         -466.25 mbb/hand
  Average:         -0.4662 bb/hand
  Time:            116.8 seconds (8.56 hands/sec)

  Game: HUNL 50/100 blinds, 20000 stack (200bb)
  Strategy: NL MCCFR, P0=100275630 P1=125066720 info sets
================================================================
