[slumbot] Building 169-bucket preflop abstraction...
[slumbot] Abstraction built in 278.68s
[slumbot] Training NL MCCFR for 1 iterations (169 buckets)...
  [Resume] Loading checkpoint from checkpoint_60M_total.dat ...
  [Resume] Loaded P0=179615196 P1=217724256 info sets. Continuing training.
[slumbot] Training complete in 269.00s. P0: 179615196, P1: 217724256 info sets
[slumbot] Starting session: LIVE (slumbot.com), 25000 hands
[slumbot] Hand 760/25000: won=-100 total=-82938 (-1091.29 mbb/hand)
[slumbot] Hand 770/25000: won=-400 total=-83638 (-1086.21 mbb/hand)
[slumbot] Hand 780/25000: won=-50 total=-83588 (-1071.64 mbb/hand)
[slumbot] Hand 790/25000: won=-50 total=-83638 (-1058.71 mbb/hand)
[slumbot] Hand 800/25000: won=300 total=-83188 (-1039.85 mbb/hand)
[slumbot] Hand 810/25000: won=100 total=-69438 (-857.26 mbb/hand)
[slumbot] Hand 820/25000: won=-100 total=-70188 (-855.95 mbb/hand)
[slumbot] Hand 830/25000: won=-50 total=-67738 (-816.12 mbb/hand)
[slumbot] Hand 840/25000: won=-50 total=-68038 (-809.98 mbb/hand)
[slumbot] Hand 850/25000: won=275 total=-68213 (-802.51 mbb/hand)
[slumbot] Hand 860/25000: won=-275 total=-45838 (-533.00 mbb/hand)
[slumbot] Hand 870/25000: won=-100 total=-45438 (-522.28 mbb/hand)
[slumbot] Hand 880/25000: won=-100 total=-45938 (-522.02 mbb/hand)
[slumbot] Hand 890/25000: won=-50 total=-64513 (-724.87 mbb/hand)
[slumbot] Hand 900/25000: won=100 total=-64363 (-715.14 mbb/hand)
[slumbot] Hand 910/25000: won=100 total=-62938 (-691.63 mbb/hand)
[slumbot] Hand 920/25000: won=6800 total=-55488 (-603.13 mbb/hand)
[slumbot] Hand 930/25000: won=-50 total=-55613 (-597.99 mbb/hand)
[slumbot] Hand 940/25000: won=-50 total=-55638 (-591.89 mbb/hand)
[slumbot] Hand 950/25000: won=825 total=-54313 (-571.72 mbb/hand)
[slumbot] Hand 960/25000: won=-1200 total=-54913 (-572.01 mbb/hand)
[slumbot] Hand 970/25000: won=-50 total=-55363 (-570.75 mbb/hand)
[slumbot] Hand 980/25000: won=-50 total=-57463 (-586.36 mbb/hand)
[slumbot] Hand 990/25000: won=200 total=-56838 (-574.12 mbb/hand)
[slumbot] Hand 1000/25000: won=-50 total=-57188 (-571.88 mbb/hand)
[slumbot] Hand 1010/25000: won=-50 total=-56838 (-562.75 mbb/hand)
[slumbot] Hand 1020/25000: won=-50 total=-61588 (-603.80 mbb/hand)
[slumbot] Hand 1030/25000: won=400 total=-59288 (-575.61 mbb/hand)
[slumbot] Hand 1040/25000: won=100 total=-79388 (-763.35 mbb/hand)
[slumbot] Hand 1050/25000: won=-50 total=-79188 (-754.17 mbb/hand)
[slumbot] Hand 1060/25000: won=100 total=-78938 (-744.70 mbb/hand)
[slumbot] Hand 1070/25000: won=100 total=-119238 (-1114.37 mbb/hand)
[slumbot] Hand 1080/25000: won=-1950 total=-118588 (-1098.04 mbb/hand)
