[slumbot] Building 20-bucket preflop abstraction...
[slumbot] Abstraction built in 162.41s
[slumbot] Training NL MCCFR for 1 iterations (20 buckets)...
  [Resume] Loading checkpoint from checkpoint_20b_10M.dat ...
  [Resume] Loaded P0=17684974 P1=22350694 info sets. Continuing training.
[slumbot] Training complete in 18.09s. P0: 17684974, P1: 22350701 info sets
[slumbot] Starting session: LIVE (slumbot.com), 1000 hands
[slumbot] Hand 760/1000: won=-50 total=-196200 (-2581.58 mbb/hand)
[slumbot] Hand 770/1000: won=-20000 total=-210450 (-2733.12 mbb/hand)
[slumbot] Hand 780/1000: won=275 total=-208675 (-2675.32 mbb/hand)
[slumbot] Hand 790/1000: won=-50 total=-208500 (-2639.24 mbb/hand)
[slumbot] Hand 800/1000: won=7200 total=-201775 (-2522.19 mbb/hand)
[slumbot] Hand 810/1000: won=-1600 total=-202825 (-2504.01 mbb/hand)
[slumbot] Hand 820/1000: won=200 total=-202025 (-2463.72 mbb/hand)
[slumbot] Hand 830/1000: won=-50 total=-200450 (-2415.06 mbb/hand)
[slumbot] Hand 840/1000: won=-50 total=-201550 (-2399.40 mbb/hand)
[slumbot] Hand 850/1000: won=-50 total=-199100 (-2342.35 mbb/hand)
[slumbot] Hand 860/1000: won=100 total=-198450 (-2307.56 mbb/hand)
[slumbot] Hand 870/1000: won=100 total=-196600 (-2259.77 mbb/hand)
[slumbot] Hand 880/1000: won=-20000 total=-215350 (-2447.16 mbb/hand)
[slumbot] Hand 890/1000: won=275 total=-215050 (-2416.29 mbb/hand)
[slumbot] Hand 900/1000: won=100 total=-213475 (-2371.94 mbb/hand)
[slumbot] Hand 910/1000: won=100 total=-212100 (-2330.77 mbb/hand)
[slumbot] Hand 920/1000: won=1000 total=-210800 (-2291.30 mbb/hand)
[slumbot] Hand 930/1000: won=100 total=-207175 (-2227.69 mbb/hand)
[slumbot] Hand 940/1000: won=-50 total=-204825 (-2178.99 mbb/hand)
[slumbot] Hand 950/1000: won=100 total=-204250 (-2150.00 mbb/hand)
[slumbot] Hand 960/1000: won=-200 total=-202600 (-2110.42 mbb/hand)
[slumbot] Hand 970/1000: won=100 total=-201700 (-2079.38 mbb/hand)
[slumbot] Hand 980/1000: won=-100 total=-200950 (-2050.51 mbb/hand)
