[slumbot] Building 20-bucket preflop abstraction...
[slumbot] Abstraction built in 161.61s
[slumbot] WARNING: No strategy specified. Using uniform random.
[slumbot] Starting session: LIVE (slumbot.com), 1000 hands
[slumbot] Hand 780/1000: won=100 total=-228725 (-2932.37 mbb/hand)
[slumbot] Hand 790/1000: won=-650 total=-226825 (-2871.20 mbb/hand)
[slumbot] Hand 800/1000: won=100 total=-224975 (-2812.19 mbb/hand)
[slumbot] Hand 810/1000: won=100 total=-223450 (-2758.64 mbb/hand)
[slumbot] Hand 820/1000: won=100 total=-222250 (-2710.37 mbb/hand)
[slumbot] Hand 830/1000: won=-50 total=-235200 (-2833.73 mbb/hand)
[slumbot] Hand 840/1000: won=100 total=-233000 (-2773.81 mbb/hand)
[slumbot] Hand 850/1000: won=3700 total=-207450 (-2440.59 mbb/hand)
[slumbot] Hand 860/1000: won=-50 total=-226200 (-2630.23 mbb/hand)
[slumbot] Hand 870/1000: won=275 total=-223825 (-2572.70 mbb/hand)
[slumbot] Hand 880/1000: won=300 total=-221150 (-2513.07 mbb/hand)
[slumbot] Hand 890/1000: won=100 total=-219000 (-2460.67 mbb/hand)
[slumbot] Hand 900/1000: won=275 total=-216825 (-2409.17 mbb/hand)
[slumbot] Hand 910/1000: won=100 total=-233075 (-2561.26 mbb/hand)
[slumbot] Hand 920/1000: won=100 total=-237925 (-2586.14 mbb/hand)
[slumbot] Hand 930/1000: won=100 total=-235900 (-2536.56 mbb/hand)
[slumbot] Hand 940/1000: won=900 total=-234350 (-2493.09 mbb/hand)
[slumbot] Hand 950/1000: won=100 total=-222150 (-2338.42 mbb/hand)
[slumbot] Hand 960/1000: won=-50 total=-218300 (-2273.96 mbb/hand)
[slumbot] Hand 970/1000: won=275 total=-215625 (-2222.94 mbb/hand)
[slumbot] Hand 980/1000: won=-20000 total=-232375 (-2371.17 mbb/hand)
[slumbot] Hand 990/1000: won=100 total=-249125 (-2516.41 mbb/hand)
[slumbot] Hand 1000/1000: won=300 total=-309200 (-3092.00 mbb/hand)

================================================================
  Slumbot Session Results (LIVE (slumbot.com))
================================================================

  Hands played:    1000
  Total winnings:  -309200 chips
  Average:         -3092.00 mbb/hand
  Average:         -3.0920 bb/hand
  Time:            129.7 seconds (7.71 hands/sec)

  Game: HUNL 50/100 blinds, 20000 stack (200bb)
  Strategy: NL MCCFR, P0=0 P1=0 info sets
================================================================
